subbrand,mean,count
Architecture ,10.323087982112884,5
City ,14.063644106957701,14
Classic ,12.696717124845682,7
Creator ,16.583774380514875,10
DC Comics Super Heroes ,21.021723522483395,3
DUPLO® ,13.732393355326186,14
Disney Princess ,11.531314879478058,3
Friends ,20.376021287531913,4
Marvel Super Heroes ,16.161041160722554,4
Minecraft ,14.66476923144149,4
NINJAGO® ,23.453443605576417,7
Speed Champions ,14.226988382484363,1
Star Wars ,10.10342693326405,3
THE MOVIE ,21.320297784554665,1
Technic ,14.113952374726027,7
